CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-13T01:36:43,18 SPCS,COSMOS 2584(GLONASS),2025-042A,EARTH,TEME,UTC,SGP4,2026-09-12 10:07:50.134656,2.13103490,0.00064393,65.1397,69.8390,202.7256,157.2778,0,U,63130,999,1190,0.00000000000000,-0.00000003,0.0000000000000,25507.906,675.728,19146.196,19113.345,PAYLOAD,LARGE,CIS,2025-03-02,PKMTR,,5366068,347690899,0 COSMOS 2584(GLONASS),1 63130U 25042A   26255.42210804 -.00000003  00000-0  00000-0 0  9991,2 63130  65.1397  69.8390 0006439 202.7256 157.2778  2.13103490 11908
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-13T10:06:47,18 SPCS,BEIDOU 3M22,2019-078B,EARTH,TEME,UTC,SGP4,2026-09-12 17:55:21.429984,1.86227548,0.00027342,53.8267,296.6989,33.1434,326.9360,0,U,44794,999,4628,0.00000000000000,-0.00000057,0.0000000000000,27906.533,773.248,21536.029,21520.768,PAYLOAD,LARGE,PRC,2019-11-23,XSC,,5366838,347787334,0 BEIDOU 3M22,1 44794U 19078B   26255.74677581 -.00000057  00000-0  00000-0 0  9991,2 44794  53.8267 296.6989 0002734  33.1434 326.9360  1.86227548 46286
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-13T10:06:47,18 SPCS,COSMOS 2501 (GLONASS),2014-075A,EARTH,TEME,UTC,SGP4,2026-09-13 01:15:07.283232,2.13101279,0.00221719,63.6171,187.3320,210.4418,149.4310,0,U,40315,999,9172,0.00000000000000,0.00000012,0.0000000000000,25508.082,675.735,19186.503,19073.391,PAYLOAD,LARGE,CIS,2014-11-30,PKMTR,,5366838,347784636,0 COSMOS 2501 (GLONASS),1 40315U 14075A   26256.05216763  .00000012  00000-0  00000-0 0  9994,2 40315  63.6171 187.3320 0022172 210.4418 149.4310  2.13101279 91724
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-14T10:46:31,18 SPCS,BEIDOU 3M19,2019-090A,EARTH,TEME,UTC,SGP4,2026-09-13 12:52:45.139584,1.86231475,0.00157610,56.6405,59.8744,292.2937,75.3247,0,U,44864,999,4588,0.00000000000000,-0.00000048,0.0000000000000,27906.141,773.231,21571.989,21484.023,PAYLOAD,LARGE,PRC,2019-12-16,XSC,,5369074,348124521,0 BEIDOU 3M19,1 44864U 19090A   26256.53663356 -.00000048  00000-0  00000+0 0  9995,2 44864  56.6405  59.8744 0015761 292.2937  75.3247  1.86231475 45885
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-14T17:25:16,18 SPCS,BEIDOU 5,2010-036A,EARTH,TEME,UTC,SGP4,2026-09-13 16:04:22.734048,1.00289463,0.00585406,54.3037,162.1610,217.4777,320.7749,0,U,36828,999,5898,0.00000000000000,-0.00000130,0.0000000000000,42159.777,1435.844,36028.448,35534.836,PAYLOAD,LARGE,PRC,2010-07-31,XSC,,5369143,348138339,0 BEIDOU 5,1 36828U 10036A   26256.66970757 -.00000130  00000-0  00000-0 0  9990,2 36828  54.3037 162.1610 0058541 217.4777 320.7749  1.00289463 58981
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-14T09:56:42,18 SPCS,GALILEO 16 (26C),2016-069B,EARTH,TEME,UTC,SGP4,2026-09-13 18:14:24.552960,1.70474053,0.00039277,55.5527,98.6285,40.7657,319.3443,0,U,41860,999,6116,0.00000000000000,0.00000005,0.0000000000000,29600.314,844.703,23233.805,23210.553,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5369072,348105351,0 GALILEO 16 (26C),1 41860U 16069B   26256.76000640  .00000005  00000-0  00000-0 0  9990,2 41860  55.5527  98.6285 0003928  40.7657 319.3443  1.70474053 61161
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-14T03:14:42,18 SPCS,COSMOS 2457 (GLONASS),2009-070B,EARTH,TEME,UTC,SGP4,2026-09-13 20:19:22.839168,2.13100834,0.00058867,65.0539,67.7926,131.5788,228.2888,0,U,36112,999,13031,0.00000000000000,-0.00000013,0.0000000000000,25508.118,675.736,19144.998,19114.967,PAYLOAD,LARGE,CIS,2009-12-14,TTMTR,,5368349,347997378,0 COSMOS 2457 (GLONASS),1 36112U 09070B   26256.84679212 -.00000013  00000-0  00000-0 0  9994,2 36112  65.0539  67.7926 0005887 131.5788 228.2888  2.13100834130319
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-14T17:25:16,18 SPCS,BEIDOU 3M4,2018-003B,EARTH,TEME,UTC,SGP4,2026-09-13 21:25:01.305408,1.86230868,0.00043071,54.2382,299.1955,262.2067,97.8053,0,U,43108,999,5901,0.00000000000000,-0.00000062,0.0000000000000,27906.202,773.234,21540.086,21516.047,PAYLOAD,LARGE,PRC,2018-01-11,XSC,,5369143,348142730,0 BEIDOU 3M4,1 43108U 18003B   26256.89237622 -.00000062  00000-0  00000-0 0  9997,2 43108  54.2382 299.1955 0004307 262.2067  97.8053  1.86230868 59010
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-15T01:57:01,18 SPCS,GALILEO 15 (267),2016-069A,EARTH,TEME,UTC,SGP4,2026-09-13 21:45:36.140256,1.70473859,0.00029480,55.5551,98.6296,0.5496,359.5305,0,U,41859,999,6091,0.00000000000000,0.00000005,0.0000000000000,29600.336,844.704,23230.928,23213.475,PAYLOAD,LARGE,ESA,2016-11-17,FRGUI,,5369507,348177209,0 GALILEO 15 (267),1 41859U 16069A   26256.90666829  .00000005  00000-0  00000+0 0  9990,2 41859  55.5551  98.6296 0002948   0.5496 359.5305  1.70473859 60912
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-09-14T03:14:42,18 SPCS,BD-20,2015-053A,EARTH,TEME,UTC,SGP4,2026-09-13 22:37:53.808960,1.00284621,0.00655253,49.0903,257.7169,192.6497,337.8155,0,U,40938,999,4024,0.00000000000000,-0.00000126,0.0000000000000,42161.134,1435.913,36059.261,35506.737,PAYLOAD,LARGE,PRC,2015-09-29,XSC,,5368349,347999783,0 BD-20,1 40938U 15053A   26256.94298390 -.00000126  00000-0  00000-0 0  9993,2 40938  49.0903 257.7169 0065525 192.6497 337.8155  1.00284621 40245
