OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
GPS BIIR-5  (PRN 22),2000-040A,26407,PAY,+,US,2000-07-16,AFETR,,718.00,54.84,20497,19869,5.2400,,EA,ORB
GPS BIIR-8  (PRN 16),2003-005A,27663,PAY,+,US,2003-01-29,AFETR,,718.00,54.87,20582,19783,10.0000,,EA,ORB
GPS BIIR-11 (PRN 19),2004-009A,28190,PAY,+,US,2004-03-20,AFETR,,717.94,54.76,20495,19868,7.9432,,EA,ORB
GPS BIIR-13 (PRN 02),2004-045A,28474,PAY,+,US,2004-11-06,AFETR,,717.99,55.08,20640,19725,2.5118,,EA,ORB
GPS BIIRM-1 (PRN 17),2005-038A,28874,PAY,+,US,2005-09-26,AFETR,,717.99,54.81,20525,19841,3.2653,,EA,ORB
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,28899,PAY,+,IM,2005-11-08,SEAL,,1436.10,5.21,35797,35777,4.4668,,EA,ORB
GPS BIIRM-2 (PRN 31),2006-042A,29486,PAY,+,US,2006-09-25,AFETR,,717.97,54.72,20471,19893,11.7863,,EA,ORB
GPS BIIRM-3 (PRN 12),2006-052A,29601,PAY,+,US,2006-11-17,AFETR,,717.98,54.92,20409,19955,4.8064,,EA,ORB
GPS BIIRM-4 (PRN 15),2007-047A,32260,PAY,+,US,2007-10-17,AFETR,,718.02,54.17,20632,19734,9.2724,,EA,ORB
COSMOS 2433 (720),2007-052A,32275,PAY,B,CIS,2007-10-26,TYMSC,,675.73,65.52,19144,19116,5.0913,,EA,ORB
COSMOS 2432 (719),2007-052B,32276,PAY,B,CIS,2007-10-26,TYMSC,,675.73,65.54,19152,19108,3.1623,,EA,ORB
GPS BIIRM-5 (PRN 29),2007-062A,32384,PAY,+,US,2007-12-20,AFETR,,717.97,54.97,20278,20086,2.0000,,EA,ORB
COSMOS 2434 (721),2007-065A,32393,PAY,+,CIS,2007-12-25,TYMSC,,675.74,64.32,19134,19126,5.0119,,EA,ORB
COSMOS 2436 (723),2007-065C,32395,PAY,+,CIS,2007-12-25,TYMSC,,675.74,64.33,19175,19086,5.0238,,EA,ORB
