OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
STARLINK-1008,2019-074B,44714,PAY,P,US,2019-11-11,AFETR,,92.03,53.15,376,373,,,EA,ORB
STARLINK-1012,2019-074F,44718,PAY,P,US,2019-11-11,AFETR,,92.02,53.15,376,371,,,EA,ORB
STARLINK-1017,2019-074L,44723,PAY,P,US,2019-11-11,AFETR,,93.57,53.05,451,447,,,EA,ORB
STARLINK-1020,2019-074N,44725,PAY,P,US,2019-11-11,AFETR,,91.78,53.15,363,361,,,EA,ORB
STARLINK-1036,2019-074AE,44741,PAY,P,US,2019-11-11,AFETR,,90.59,53.04,307,300,,,EA,ORB
STARLINK-1039,2019-074AH,44744,PAY,P,US,2019-11-11,AFETR,,93.81,53.06,462,460,,,EA,ORB
STARLINK-1042,2019-074AL,44747,PAY,P,US,2019-11-11,AFETR,,92.26,53.04,389,381,,,EA,ORB
STARLINK-1043,2019-074AM,44748,PAY,P,US,2019-11-11,AFETR,,91.54,53.05,351,349,,,EA,ORB
STARLINK-1046,2019-074AQ,44751,PAY,P,US,2019-11-11,AFETR,,91.68,53.04,358,355,,,EA,ORB
STARLINK-1047,2019-074AR,44752,PAY,P,US,2019-11-11,AFETR,,93.62,53.07,453,450,,,EA,ORB
STARLINK-1048,2019-074AS,44753,PAY,P,US,2019-11-11,AFETR,,91.21,53.04,338,330,,,EA,ORB
STARLINK-1063,2019-074BH,44768,PAY,P,US,2019-11-11,AFETR,,92.23,53.15,384,383,,,EA,ORB
STARLINK-1067,2019-074BL,44771,PAY,P,US,2019-11-11,AFETR,,88.99,53.03,231,218,,,EA,ORB
STARLINK-1068,2019-074BM,44772,PAY,P,US,2019-11-11,AFETR,,89.69,53.03,262,257,,,EA,ORB
STARLINK-1114,2020-001P,44927,PAY,P,US,2020-01-07,AFETR,,90.99,53.03,326,320,,,EA,ORB
STARLINK-1123,2020-001S,44930,PAY,P,US,2020-01-07,AFETR,,91.64,53.14,356,354,,,EA,ORB
STARLINK-1094,2020-001AD,44941,PAY,P,US,2020-01-07,AFETR,,91.93,53.14,371,367,,,EA,ORB
