Sys,Band,Signal,Frequency[MHz],Modulation,Rate(MHz),P_t (dBW),G_t (dBi),Alpha
GPS,L1,P(Y),1575.42,BPSK(10),10.23,13.5,13.5,1.0
GPS,L1,C/A,1575.42,BPSK(1),1.023,16.5,13.5,1.0
GPS,L1,L1C-D,1575.42,"TMBOC(6,1,4/33)",1.023,13.5,13.5,1.0
GPS,L1,M-D,1575.42,"BOC(10,5)",5.115,18.2,13.5,1.0
GPS,L2,P(Y),1227.6,BPSK(10),10.23,13.5,13.5,1.0
GPS,L2,L2CM,1227.6,BPSK(1),1.023,13.5,13.5,1.0
GPS,L2,M-D,1227.6,"BOC(10,5)",5.115,16.0,13.5,1.0
GPS,L5,L5I,1176.45,BPSK(10),10.23,18.0,18.0,1.0
GLO,L1,L1SF(P),1602.0,BPSK(5),5.11,13.5,13.5,1.0
GLO,L2,L2SF(P),1245.1,BPSK(5),5.11,13.5,13.5,1.0
GLO,L2,L2OF(C/A),1245.1,BPSK(0.5),0.511,13.5,13.5,1.0
GLO,L3,L3OC-D,1202.025,BPSK(10),10.23,13.5,13.5,1.0
GAL,E1,OS-D(B),1575.42,"CBOC(6,1,1/11)",1.023,13.5,13.5,1.0
GAL,E6,CS-P(C),1278.75,BPSK(5),5.115,16.0,15.0,1.0
GAL,E6,PRS(A),1278.75,"BOCcos(10,5)",5.115,18.0,16.0,1.0
GAL,E5ab,PRS(A),1191.795,"AltBOC(15,10)",10.23,13.5,13.5,1.0
GAL,E5a,E5a-D,1176.45,"AltBOC(15,10)",10.23,13.5,13.5,1.0
BDS-2,B1-2,RS,1561.098,BPSK(2),2.046,13.5,13.5,1.0
BDS-2,B3,RS,1268.52,BPSK(10),10.23,16.0,16.0,1.0
BDS-3,B1-2,OS,1561.098,BPSK(2),2.046,13.5,13.5,1.0
QZS-1,L1,C/A,1575.42,BPSK(1),1.023,13.5,13.5,1.0
QZS-1,L1,L1C-D,1575.42,"BOC(1,1)",1.023,13.5,13.5,1.0
QZS-1,L1,L1C-D,1575.42,"TMBOC(6,1,4/33)",1.023,13.5,13.5,1.0
QZS-1,L1,SAIF,1575.42,BPSK(1),1.023,13.5,13.5,1.0
QZS-1,L2,L2CL,1227.6,BPSK(1),1.023,13.5,13.5,1.0
QZS-1,L6,L61(LEX)n,1278.75,BPSK(5),5.115,13.5,13.5,1.0
QZS-1,L6,L62o,1278.75,BPSK(5),5.115,13.5,13.5,1.0
QZS-1,L5,L5I,1176.45,BPSK(10),10.23,16.0,16.0,1.0
QZS-1,L5,L5Q,1176.45,BPSK(10),10.23,16.0,16.0,1.0
IRNSS,L5,SPS,1176.45,BPSK(1),1.023,16.0,14.0,1.0
IRNSS,L5,RS-D,1176.45,"BOC(5,2)",2.046,18.0,16.0,1.0
SBAS,L1,C/A,1575.42,BPSK(1),1.023,13.0,13.5,1.0
SBAS,L5,L5I,1176.45,BPSK(10),10.23,18.0,16.0,1.0
