Satellite,NORAD ID,Constellation,Generation,Observations
GPS BIIA-10,20959,GPS,IIA,26/11/1990 - 25/01/2016
GPS BIIA-11,21552,GPS,IIA,4/07/1991 - 30/9/2011
GPS BIIA-12,21890,GPS,IIA,23/02/1992 - 18/12/2009
GPS BIIA-13,21930,GPS,IIA,10/04/1992 - 15/08/1997
GPS BIIA-14,22014,GPS,IIA,7/07/1992 - 6/01/2015
GPS BIIA-15,22108,GPS,IIA,9/09/1992 - 10/08/2011
GPS BIIA-16,22231,GPS,IIA,22/11/1992 - 17/03/2008
GPS BIIA-17,22275,GPS,IIA,18/12/1992 - 23/10/2007
GPS BIIA-18,22446,GPS,IIA,3/02/1993 - 3/12/2002
GPS BIIA-19,22581,GPS,IIA,30/03/1993 - 24/10/2005
GPS BIIA-20,22657,GPS,IIA,13/05/1993 - 18/03/2016
GPS BIIA-21,22700,GPS,IIA,26/06/1993 - 19/05/2014
GPS BIIA-22,22779,GPS,IIA,30/08/1993 - 1/05/2013
GPS BIIA-23,22877,GPS,IIA,26/10/1993 - 11/2015 and 3/2018 - 9/10/2019
GPS BIIA-24,23027,GPS,IIA,10/03/1994 - 21/02/2014
GPS BIIA-25,23833,GPS,IIA,28/03/1996 - 2/08/2014
GPS BIIA-26,23953,GPS,IIA,16/07/1996 - 11/03/2016
GPS BIIA-27,24320,GPS,IIA,12/09/1996 - 20/07/2011
GPS BIIA-28,25030,GPS,IIA,6/11/1997 - 30/10/2014
GPS-BIIR-2,24876,GPS,IIR,23/07/1997 - 24/04/2026
GPS-BIIR-3,25933,GPS,IIR,7/10/1999 - 10/11/2020
GPS-BIIR-4,26360,GPS,IIR,11/05/2000 - 8/01/2026
GPS-BIIR-5,26407,GPS,IIR,16/07/2000 - 
GPS-BIIR-6,26605,GPS,IIR,10/10/2000 - 9/7/2020 and 20/01/2022 - 25/01/2023
GPS-BIIR-7,26690,GPS,IIR,30/01/2001 - 5/03/2018
GPS-BIIR-8,27663,GPS,IIR,29/01/2003 - 
GPS-BIIR-9,27704,GPS,IIR,31/03/2003 - 27/01/2025
GPS-BIIR-10,28129,GPS,IIR,21/12/2003 - 18/01/2022
GPS-BIIR-11,28190,GPS,IIR,20/03/2004 - 
GPS-BIIR-12,28361,GPS,IIR,23/06/2004 - 2/03/2020
GPS-BIIR-13,28474,GPS,IIR,6/11/2004 - 
GPS-BIIRM-1,28874,GPS,IIRM,26/09/2005 - (M-(D+P) and L2C(M+L) signals were turned on-off continually)
GPS-BIIRM-2,29486,GPS,IIRM,25/09/2006 - 
GPS-BIIRM-3,29601,GPS,IIRM,17/11/2006 - 
GPS-BIIRM-4,32260,GPS,IIRM,17/10/2007 - 
GPS-BIIRM-5,32384,GPS,IIRM,20/12/2007 - 
GPS-BIIRM-6,32711,GPS,IIRM,15/03/2008 - 
GPS-BIIRM-7,34661,GPS,IIRM,24/03/2009 - 06/05/2011 (with L5) and 27/10/2022 - (without L5)
GPS-BIIRM-8,35752,GPS,IIRM,17/08/2009 - 
GPS-BIIF-1,36585,GPS,IIF,28/05/2010 - 
GPS-BIIF-2,37753,GPS,IIF,16/07/2011 - 10/08/2023
GPS-BIIF-3,38833,GPS,IIF,4/10/2012 - 
GPS-BIIF-4,39166,GPS,IIF,15/05/2013 - 
GPS-BIIF-5,39533,GPS,IIF,21/02/2014 - 
GPS-BIIF-6,39741,GPS,IIF,17/05/2014 - 
GPS-BIIF-7,40105,GPS,IIF,02/08/2014 - 
GPS-BIIF-8,40294,GPS,IIF,29/10/2014 - 
GPS-BIIF-9,40534,GPS,IIF,25/03/2015 - 
GPS-BIIF-10,40730,GPS,IIF,15/07/2015 - 
GPS-BIIF-11,41019,GPS,IIF,31/10/2015 - 
GPS-BIIF-12,41328,GPS,IIF,5/02/2016 - 
GPS BIII-1,43873,GPS,III,23/12/2018 - (but started operating on 01/2020)
GPS BIII-2,44506,GPS,III,22/08/2019 - 
GPS BIII-3,45854,GPS,III,30/06/2020 - 
GPS BIII-4,46826,GPS,III,5/11/2020 - 
GPS BIII-5,48859,GPS,III,17/06/2021 - 
GPS BIII-6,55268,GPS,III,18/01/2023 - 
GPS BIII-7,62339,GPS,III,17/12/2024 - 
GPS BIII-8,64202,GPS,III,30/05/2025 - 
GPS BIII-9,67588,GPS,III,28/01/2026 - 
GPS BIII-10,68791,GPS,III,21/04/2026 - 
COSMOS 2404,28112,GLONASS,M,10/12/2003 - 18/06/2009
COSMOS 2413,28509,GLONASS,M,26/12/2004 - 22/11/2012
