Satellite,,,22877,25933,26605,27663,28129,28361,29486,29486,32711,32711,39166,39166,39166,39166,40105,40105,40105,40105,40294,40294,40294,40294,40534,40534,40534,40534,40730,40730,40730,40730,41328,41328,41328,41328,29671,29671,32275,32275,32276,32276,36111,36111,36112,36112,37372,37372,37372,37868,37868,37869,37869,40001,40001,40001,40315,40315,40315,41554,41554,41554,37846,37846,37846,37847,37847,37847,40128,40128,40128,40889,40889,40889,41174,41174,41174,41860,41860,41860,41861,41861,41861,41862,41862,41862,43056,43056,43056,43058,43058,43058,43565,43565,43565,36590,36590,38091,38091,38251,38251,38775,38775,40749,40749,43001,43001,43207,43207,43208,43208,43245,43245,43602,43602,43647,43647,43706,43706,39199,39199,39635,39635,40269,40269,41384,41384,43286,43286,37605,38652,38779,39617
Signal,,,L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:L5I,L5:L5I,L5:L5I,L5:L5I
Mask,CF,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deg1,1,,8.670438118293111,29.400500374680075,0.5132828613537082,6.358405549094062,0.0,1.250588225192368,0.0,0.0,0.0,0.0,0.0,6.802508608186843,1.371077926714217,0.1298007286143517,0.0,1.2999472310025884,0.0,0.0,0.0,0.0,0.0,0.0,8.92335050992076,0.0,0.0,0.0,0.0,3.3876184465211967,0.8565423705734514,0.6457391442850171,0.0,0.0,0.0,0.007244158414893247,0.018484177163428615,0.0,0.0,16.181177475436606,0.0,2.9657622287159158,0.0,0.0,0.048168734381258654,3.205705233825229,0.10839686367434576,0.9453600478124757,0.0,0.0,0.25709262808944705,0.07519148810539848,0.0,0.5801281668710484,0.0,52.933907063843286,1.0937325995906704,0.6756932512221537,0.0,0.5374658114749156,1.2409873673868443,0.0,0.0,0.0,0.0,0.0,0.06714308704227767,0.043538808685377975,0.0,0.0,0.0,0.0,0.0,0.0,0.08113833117522257,0.0740547238200203,0.020986507594879456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.081516946279844,0.4306346999971942,1.1578273989091585,2.2378785074624967,1.4639121850524794,1.1335987419124443,15.400596491472877,4.124481929545399,3.06690327003693,0.0,0.0,1.1055166552626188,1.8960257669776608,0.0,0.0,0.0,0.0,0.11518241789300329,0.23965650824916157,0.5486366216862965,0.0,0.0,0.0,0.6600509843066095,9.84599514378563,2.522763805499542,2.290756024353788,0.2872933654056335,0.0,0.08290685993685919,0.0,0.0,0.0,1.353608399455965,1.0149049004945272,0.0,0.03404228128731078,0.0,0.0,0.17332787990519152,0.7995839281842677,0.0,0.0,1.0580331805585395,0.0,0.0,0.0
deg1,1,-2,9.563879228143144,19.16775643669232,0.11539182103910708,6.752172631064091,0.0,1.4655909692786278,0.0,0.0,0.0,0.0,0.7495822745562114,6.638097426018659,1.3653764688462833,0.10694426585093132,0.44510210890499285,1.3039091191614811,0.0,0.0,0.0,0.0,0.0,0.0,8.259786827900731,0.0,0.0,0.0,0.0,3.443706611694666,0.861497320290557,0.6438936026641691,0.0,0.0,0.0,0.012856059644975099,0.019591110651780236,0.0,0.0,15.284043952148602,0.0,3.077616854526724,0.0,0.0,0.03794712842126664,3.0890329272498147,0.10773561229023024,0.8788298274523804,0.29350517914620333,0.0,0.2573466735586256,0.07638429752757778,0.0,0.5794692756612048,0.0,44.16482148259028,1.0871078474525535,0.8824507683898554,0.0,0.5363147877855018,1.185088184875588,0.0,0.0,0.0,0.0,0.0,0.06768669576960994,0.041903707269450204,0.0,0.0,0.0,0.0,0.0,0.0,0.08119236893100135,0.07405520484488368,0.02098616327695092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.519165373695472,0.4361216302097886,1.162152403491216,2.1990330925544024,1.465141564746289,1.1343805767607147,15.382416116129832,4.117560685408287,3.0683368723235893,0.0,0.0,1.1032678327476404,1.8818187089061111,0.0,0.0,0.0,0.0,0.1117008479160293,0.8207889880070751,0.5507022307805267,0.0,0.0,0.0,0.6598127015056707,9.818395377585743,2.5221470432941158,2.4983199153246396,0.29146321213320614,0.0,0.08380555956198084,0.0,0.0,0.0,1.3545674066467084,1.02743131447159,0.0,0.019037890999172063,0.0,0.0,0.17053091737146517,0.8086234368493985,0.0,0.0,1.062036969660772,0.0,0.0,0.0
deg1,1,-1,7.0536628135910435,5.984338999486264,0.0,7.252088800872086,0.0,1.8665803165487267,0.0,0.0,0.0,0.0,2.547870646798505,5.439252399776347,1.359249279351842,0.03357450956188506,1.3538581868042254,1.4312009015052727,0.0,0.0,0.0,0.0,0.0,0.0,5.627764480944518,0.0,0.0,0.0,0.3377832285904497,3.705036367622891,0.8759553958600232,0.6518483659863038,0.0,0.0,0.0,0.05418389723650955,0.024288819954802945,0.0,0.0,10.538051802024892,0.006499352765030183,3.6186735046811096,0.0,0.0,0.002744424744349885,2.5373201924512547,0.09943839958192716,0.6390026214005623,2.0647401558138303,0.0,0.25872720433113017,0.08631040250357144,0.0,0.5970042967161189,0.0,16.860267802093347,1.059652331429078,1.8711234318473593,0.0,0.5351847746507632,0.8553329879426506,0.0,0.0,0.0,0.0,0.0,0.07313833964251733,0.036690610079613384,0.0,0.0,0.0,0.0,0.0,0.0,0.08137940934696436,0.07405992526638572,0.020978886409568374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.067164856396706,0.47468013648111435,1.1661942290084057,2.381324795564134,1.476052398929549,1.139558418721484,11.676105230076862,4.056555596889869,3.0735960953404953,0.0,0.0,1.1017646808327672,1.896246780158827,0.0,0.0,0.0,0.0,0.11037061864310369,1.881631260405567,0.5687919878925989,0.0,0.0,0.0,0.6613572481444658,9.394405170867511,2.5194880253078704,3.258542643426772,0.2782907675837491,3.292118968971351,0.08795676536242655,0.0,0.0,0.0,1.363268220915185,1.0577703778181295,0.0,0.0,0.0,0.0,0.13369177162157816,0.7536569223680617,0.0,0.0,1.0921016547764872,0.0,0.0,0.0
deg1,1,0,2.6567322814148713,1.8795989580788914,0.28241626746132475,5.525788111112313,0.9385258554208641,2.2130547716499054,0.490283503485682,0.0,0.2549550641870248,0.0,1.703805559052363,2.7542804989631477,1.304393666497288,0.05543882503384372,1.4656683783576412,1.4983853663811733,0.0,0.0,1.007733165957829,0.0,0.0,0.0,2.047893328250579,0.5029826446426725,0.0,0.0,2.1934428949775495,4.156718904829024,0.9104489768270955,0.6882467008455279,0.8760360890548465,0.32141601396612113,0.09028781719173537,0.07024686136997153,0.022215451201357393,0.0,0.8444730289892632,3.4744099956958694,0.21011846277426685,3.2271462296588846,0.0,0.0,0.3055824340404585,1.5793174218268664,0.09192829600026925,0.7699376094683784,2.710333108892763,0.0,0.26240238189666254,0.16656735785857674,0.0,0.8185067929415045,0.0,3.1763459764702673,1.1683886820156668,2.5529160895702305,0.0,0.5650893433057611,0.6337016956649483,0.94705717066853,0.0,0.0,0.0,0.0,0.12201612390602337,0.06509767295767767,0.0,0.0,0.0,0.0,0.01190480796360815,0.0,0.08167907119012868,0.07412368607680206,0.02104439970791749,0.0,0.0,0.0,1.0724135860306288,0.0,0.0,0.0,0.0,0.0,2.146292867543777,0.7283365187910067,1.21032678356062,3.401575765931816,1.5613484287640946,1.178599650020274,4.316901157440425,3.5605263632305117,2.8981245543440126,0.0,0.8522962683872095,1.0589793089930084,1.9342448884186985,0.0,0.0,0.0,0.0,0.16077256291319728,1.8353175281534528,0.6699942782538316,0.3742879820972252,0.0,0.0,0.6638156616623666,7.787659714682242,2.4903619260179353,3.9920544429830094,0.3835225756558536,3.1969306033752103,0.09219489197000014,2.127668837037372,0.0,2.0784915529698478,1.148812194193797,1.0294333548085421,0.0,0.0328218219628231,0.2269122989584975,0.0,0.40709244650855503,0.7206191365097249,0.16138883818302519,0.012363871048802875,1.0631918986632354,0.0,0.0,0.0
deg1,1,1,1.4003517342029839,1.1899253047792013,1.0041571238282412,2.4888455820674267,1.0537001111710362,2.3947357557885107,1.0258138955650937,0.8787702505771414,1.4490125941496568,1.123094060384799,1.2788242953623241,1.4864603302210058,1.0280693038590816,0.21156854662206712,1.2879209130463458,1.3708094309080814,0.0,0.0,1.212542508648588,0.5880543483206748,0.0,0.0,1.2139455789853262,1.0372533656310279,0.05941336997342005,0.0,1.9372102376356648,2.6729791163506578,1.0541433697494045,0.7332400464893302,0.9952402262831249,0.9226267517530935,0.44387426963720794,0.0,0.05333033303617132,0.210408593116559,1.132679985568692,1.3907879744076077,0.5904910157843896,1.5047556280525507,0.10438085612729887,0.2764442456934976,0.8985155346718605,1.1403445795916445,0.24483296206347147,1.0466686392063376,1.9118952493166577,0.0,0.26682526176032445,0.32070517628467976,0.24924727070514013,0.9587883888055478,0.7579441750243942,1.317779051307763,1.3357627799339602,1.4898684240915834,1.0215420890658233,0.6512459380157674,0.7742242422441612,1.3174045509008645,0.9322466656770444,0.35640246433179656,0.05670076919522681,0.9332806710394258,0.22727875548718282,0.2797917043045925,1.3044452863466112,0.21052657608879996,0.0,1.1305317850248575,0.27699465556287817,0.0,0.0825832938696305,0.07458264089225743,0.021174488627867687,0.6576660646663134,0.0,0.0,1.2674925260172243,0.0,0.0,0.791144030781086,0.0,0.0,1.3092009363354387,1.0331656024556388,1.3119395115745733,3.7292187061267357,1.7164211517541639,1.3335518345424446,2.071366527502867,1.9131807237547247,1.9286441623224058,0.7228918094717344,1.0323850857461072,0.7617812962436642,2.187203890376009,0.2466516967774696,0.8380590965907334,0.0,0.0,0.4334670289119126,1.9408106619622552,0.8623372608561997,0.897753268806247,0.0,0.0,0.6602329706138346,4.145100417784485,2.305202514091516,4.289054197793859,0.6463936196766628,2.036672153784686,0.23903906012713086,2.376679859281146,0.4041386694406273,1.7630098965972003,0.5773324630011587,0.4669293791155555,0.22428693308883238,0.22913495177601675,0.8947657765918493,0.6874153228467151,0.7635335372533231,0.7804054472469077,0.46551603338638864,0.38357691896402785,1.0041893939281346,0.0,0.783994810478063,0.6636802044726626
deg1,1,2,1.0797769479942354,1.0411259084556128,1.0522730996579004,1.3122075576329395,1.0226030258798278,1.5338226042210834,1.0280096598117674,1.0381018369377442,1.206532866922279,1.2931250613629537,1.0766855901621208,1.137490597624146,0.9108039661914062,0.7861984940439743,1.0993246158067576,1.1851423590174617,0.23081709843378043,0.0,1.0728660018696583,1.0759491419002694,0.37052912364951845,0.0,1.0487695685065015,1.0755364258949263,0.3753524465879337,0.0,1.2773723332303784,1.497742863145285,0.9842975103794241,0.8353938716209294,1.0008892272800947,1.0011143984320405,0.7934540481956098,0.1621287623591069,0.34137833493822656,0.7981297241822192,1.0184384823542842,1.0395246375077356,0.8492987629677967,1.010855487340475,0.5487772028060717,0.817154484696837,0.9933090754696831,1.0146623452813792,0.6568514277221988,0.9475901045216288,1.3331669990913555,0.0,0.27085400130657633,0.6983029711507238,0.8456714664436394,0.9811375938416222,0.9531969564954105,1.0626649973340176,1.1044751807924087,1.02818672618023,1.1179048116848687,0.8468098165592304,0.9095347347434751,1.151162641576145,1.0676825270735517,0.8184766730509474,0.7832721438569655,1.2735487956029699,0.5803187670747992,0.523274578785205,1.2953543377844168,0.7198421413206293,0.49829508440415476,1.193258347885665,0.5991686317252579,0.3614478484824122,0.08480232430344556,0.07513046835025394,0.021113403258054938,1.0362881185510342,0.7341281257534095,0.7327834163528802,1.1868183489026403,0.5420718042370678,0.24425047721186338,1.1553919543887285,0.2076024363995782,0.10819285381991524,1.1226768654203485,0.919159635192171,0.9778437608621192,2.167023917053981,1.2310926948267018,1.0395058153170922,1.3538553619217861,0.9936538436068589,0.9608290944389027,0.9410679433174057,1.032981606717781,0.738219316198984,1.6302981085785129,0.9171931129077119,1.0197670623657489,0.0,0.9619885193955413,0.8796287074776461,1.4236997107334772,0.9416747690956624,0.9838700220415186,0.0,1.1488355020780499,0.7608002192070241,2.0166321305580412,1.6289796412223818,2.711552370623256,0.859169561206741,1.3719571458996491,0.6662475199054393,1.5690387425349412,0.810705615076212,1.2933473277684715,0.49110478449523576,0.38512429265466613,0.5170468233029734,0.4621159502469671,0.9767982016118997,0.9446346984877461,0.8989926642807246,0.8978767535215463,0.46681208871312635,0.37047097957886027,0.9420706923844002,0.2036885737614467,0.9564549044071302,0.9457816831339969
deg1,1,3,1.0098294978110616,1.0051750716345422,1.0062481289434118,1.0381958323646479,1.0023111005698833,1.0721769376653885,1.0037498989502713,1.0076541475788703,1.02815445030637,1.0500998114435987,1.0095495481675578,1.0198779627753864,0.9521054203104531,0.842471828018308,1.0116920405478498,1.0296951842876647,0.7800351423203041,0.005502675559722613,1.0085404909141522,1.0170793270613514,0.8283855409204383,0.36405290671164653,1.0049602862852123,1.013456920904126,0.8349595837538998,0.11909771856548604,1.0354356722146902,1.0715181073622804,0.9081690862258188,0.6987912627195603,0.9998493846138958,1.0007790378884085,0.9568810869184871,0.728204870439882,0.8501566313682773,0.9654313796304279,1.000741756346653,1.0027892064098438,0.9754354824765668,0.9954605299967586,0.9263448918525012,0.9735006549657632,0.998989251737805,1.0005312807987403,0.9413476483756967,0.9857764149740033,1.053956567942461,0.0,0.3098761014834555,0.9537764967792163,0.9784758681953108,0.9972038566384799,0.9937857047021483,1.008639432818178,1.01111334221576,0.9974671766898312,1.0227347164761795,0.9767896726515226,0.9860645695789546,1.024244767206292,1.0136546775371005,0.9634757716466167,0.9590805095811794,1.0405388872577463,0.8830533362801152,0.7946481824244271,1.03271079264931,0.8932643165887643,0.7555151698063075,1.0269408513265303,0.8783871300631173,0.7507705694545282,0.08775790927424196,0.07448536321783188,0.02042115847326765,1.010434537321091,0.9586278186645084,0.9611795335446608,1.022501503796798,0.8626803103423694,0.707786411282211,1.012753093879385,0.7999896431205155,0.6767872936338066,1.020368930026915,0.9747859317658368,0.9798580490517836,1.150265817817576,0.8789944672598247,0.6173537219837795,1.0448263941168758,0.9483142348530328,0.8803438127361822,0.9828945383206527,1.0081346436016405,0.8103601681795134,1.1456499562509697,0.9948126356871195,1.005157390432101,0.5349242435303241,1.093999222132809,0.9757070650798024,1.067789836079335,0.9813588373513491,0.9964507047005489,0.42486914251134733,1.0094668412072203,0.7290862847467643,1.1422703205258342,1.0508931282265968,1.2832751435615724,0.9217052406638692,1.0511349044298082,0.8658372207495003,1.0844845289893057,0.894887873963972,1.036180759150663,0.7533958683002279,0.5995865140313138,0.7787414895894929,0.6510991414926567,0.9937126324936947,0.986889936168833,0.9558870032159048,0.9327365351635442,0.7430319275996878,0.585983430048477,0.8144097182054696,0.6698043502998591,0.9902650545362122,0.9664840746022142
