Satellite,,,22877,25933,26605,27663,28129,28361,29486,29486,32711,32711,39166,39166,39166,39166,40105,40105,40105,40105,40294,40294,40294,40294,40534,40534,40534,40534,40730,40730,40730,40730,41328,41328,41328,41328,32393,32393,36401,36401,36402,36402,37829,37829,37867,37867,39155,39155,41330,41330,41330,42939,42939,42939,43508,43508,43508,43687,43687,43687,37846,37846,37846,40889,40889,40889,41174,41174,41174,41175,41175,41175,41549,41549,41549,41860,41860,41860,41862,41862,41862,43056,43056,43056,43566,43566,43566,36590,36590,38091,38091,43001,43001,43002,43002,43107,43107,43207,43207,43208,43208,43245,43245,43246,43246,43706,43706,39199,39199,39635,39635,40269,40269,41384,41384,43286,43286,37605,38652,38779,39617
Signal,,,L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:L5I,L5:L5I,L5:L5I,L5:L5I
Mask,CF,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deg1,1,,45.48075436159144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.633383938784057,2.6629717914525988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3364357937126454,1.1452228484771143,0.9657519853749432,20.290276158652848,4.876597260516305,1.54421474212278,0.4708257970535355,0.0,0.0,0.0,6.970039970825594,0.0,13.655435059573724,0.20747594410324985,0.6823771681868039,0.0006328738450718437,0.0,0.16411897602594028,8.356520779066065,0.42337927743782194,0.0,5.174065807430686,0.2561337249980291,2.294872070858363,0.0,0.0011729680518598198,0.0,2.0570372835711193,0.4320270344409683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0674876490120377,0.0,0.05372926097069625,0.0,0.0,0.0,5.881906725565994,1.4395918181019904,1.2051356918845377,0.0,0.0,0.0,14.898489196498053,0.0,0.0,1.8324693753062917,0.0,0.0,0.0,0.0,9.806491027954246,38.83621408353646,0.0,0.0,0.0,0.0,0.0,0.0,4.401558504292388,0.0,0.0,0.0,0.6339401522514676,0.6355966465523745,0.6108039703212242,0.0,0.0,1.7559027168801407,0.0,0.0,0.132759741091533,0.0,0.0,0.0,0.0,0.0
deg1,1,-2,43.217188937626354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.816425683469559,2.59921501722358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4174219209550678,1.1479975762210228,0.9636615628774188,19.89202283610255,4.877062235746253,1.554391341692781,0.48256187882954965,0.0,0.0,0.0,6.978571706661448,0.0,13.626370184752293,0.20593254876082287,0.7057048294657501,0.0006334081047413168,0.0,0.20096032342873194,8.137880617973968,0.4225034322523935,0.0,4.0819377881914125,0.25621119978931467,2.301886736742591,0.0,0.001078418267021953,0.0,2.214898681115363,0.43210682175922505,0.0,0.0,0.04089848994216258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0676453901694027,0.0,0.05346426752322808,0.0,0.0,0.0,5.862616477595858,1.4396121439192675,1.2067043565855806,0.0,0.0,0.0,14.761589854263937,0.0,0.0,1.8344527015828338,0.0,0.0,0.0,0.0,9.811500536451575,38.18166660260284,0.0,0.0,0.0,0.0,0.0,0.0,4.409257399096021,0.0,0.0,0.0,0.6201422395115904,0.6361266632850451,0.614101504473651,0.0,0.0,1.74734756783897,0.0,0.0,0.14350417616995376,0.0,0.0,0.0,0.0,0.0
deg1,1,-1,25.209836835917624,5.890503859824192,0.0,0.0,0.0,1.2000902072696296,2.44097257020882,0.0,12.156607242402591,2.3944752687557327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7134801447697878,1.1571602271468637,0.9447019868900712,16.22709768316267,5.019100211802675,1.632111213792221,0.5713796018720216,0.0,0.70599548379043,0.0,6.568030378302145,0.0,13.240465928452524,0.20313032091760738,0.9841257148687866,0.0006561806911121853,0.0,0.3976533124808489,6.057096307104853,0.4568801819552575,0.0,1.5244700449909636,0.2567234848798696,2.278354179957029,0.0,0.006533463886457406,0.0,2.449763874573747,0.43359673362790957,0.0,0.0,0.45605857590600163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0389675027287057,0.0,0.051475861577732894,0.0,0.0,0.0,5.638687858064023,1.4397231785328835,1.2167760261267149,0.0,0.0,0.0,13.670474983478607,0.0,0.0,1.8238189441094066,0.0,0.0,0.0,0.0,9.835116336771115,32.94539317036797,0.0,0.0,0.0,0.0,0.0,0.0,4.470037153476947,0.0,0.0,0.0,0.5234929321320317,0.6392535437385793,0.6591628875756054,0.0,0.0,1.6678662905849964,0.0,0.0,0.19937590924766774,0.0,0.0,0.0,0.0,0.0
deg1,1,0,5.788049292072965,2.546721683325124,0.0,0.0,0.0,3.641491438315869,3.1557469128628752,1.0377060394650865,9.570539330716707,2.1822873349179046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1391011660263772,1.1819984923021456,0.8852235774548477,6.984282726716172,4.748867511044087,1.8719755924504278,0.8865205926893253,0.13120275206974955,3.5136636959960046,0.0,4.687129328787586,0.27161376052540537,9.631380520355929,0.30262720794120773,2.239975742967405,0.0010105746777838295,0.0,0.7142477960073949,2.5300307785450267,0.8069800246921234,0.33270794870361015,0.8855499224541429,0.2558232240204497,2.168876924251879,0.0,0.09568138008750231,0.09620888123782197,1.85555233118318,0.5112693539494023,0.0,0.0,1.8952212310755117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908846644852988,0.0,0.04429818582394362,0.0,0.0,0.0,4.801472099655127,1.4400035107576599,1.2490080528643699,0.0,0.0,0.0,7.0010826790151635,0.004947784598433694,0.5642940009686008,1.801189080381377,0.0,0.0,0.0,0.0,8.925545624688354,14.350128584577332,0.0,0.0,0.0,0.0,0.0,0.0,4.15372159756661,0.0,0.0,0.0,0.3689370372145739,0.6525572229888438,0.6275234696883772,0.0,0.033332638352027356,1.3464217737967468,0.370477232201662,0.0,0.3198176118124628,0.0,0.0,0.0,0.0,0.0
deg1,1,1,1.6545556180128205,1.3085835962382695,0.0,1.5479055494499816,0.48549936361520696,3.353355496241155,1.559182853688722,1.3635634316198437,3.636921643597329,2.2104885041084446,0.21013064193438463,0.6103589741938817,0.0,0.0,0.0,0.0,0.0,0.002535301222804046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7591453350275783,2.207009380771954,1.2596750545758026,0.8771452580256565,1.930441446615302,2.2128876171523117,1.8070591884000833,1.0681461364798115,0.9615124787027363,2.3408249030381576,0.920789933210506,2.171725005556133,1.14397251693749,3.5369903825382125,0.7876780104829358,1.8740282690723173,0.0018854187135402976,0.0,1.2568502160838748,1.4815011669904512,1.124956864375061,1.005667713116318,0.971039856669744,0.3638581984189437,1.8565009910712533,0.5248088830944917,0.3528713396480522,0.9337812215292994,1.1242147026259361,0.7264515116121187,0.7692927983445303,0.6773086401560718,2.5774672928729356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9885039314409407,0.0,0.04716892871503792,0.0,0.0,0.0,3.4694331778562173,1.433025874299987,1.2461961640854655,0.0,0.0,0.0,1.8104842369735048,0.9219609504002858,1.91036267223118,1.7823249094602638,0.0,0.0,0.0,0.0,4.305467474522014,3.0060562025543303,0.0,0.0,0.0,0.0,0.0,0.0,2.862908155237496,0.6215132896384975,0.0,0.0,0.3716970099945694,0.6764251701904,0.46051510162436454,0.0,0.8372597057536125,1.0429809927925784,0.8115576032356612,0.0,0.39791472272059386,0.0,0.0,0.0,0.7759440948806172,0.0
deg1,1,2,1.1081851362745831,1.0594168494020058,0.33432199960271874,1.2454205740465611,0.9476111425113707,1.6600805448965197,1.0813448215963763,1.0786798372660573,1.4695792725448003,1.4744367179546491,0.9662619033704888,1.0152186866954687,0.008757279823289764,0.041848741898539585,0.8301458957682483,0.866572850634408,0.0,0.0,0.5442964989234116,0.5602011425485355,0.0,0.0,0.3645025667691674,0.3412683701070224,0.0,0.0,1.274702741981059,1.4150929838642057,1.303611936644132,0.7813943665629641,1.090765128067733,1.1109790543630615,1.2540701334283288,0.9746514062453799,1.0950980559032761,1.220667786246636,1.06503125879677,1.1816971590627086,1.169662824993497,1.3629367743100114,1.0018715187326184,1.155883811756104,0.0026295710556425485,0.0,1.062470768591062,1.0719455556757818,1.0357220855371414,1.012904028409018,1.0016505612581914,0.6790504225638079,1.1878679940241461,1.012823182202789,0.8002957351682223,1.030684474502709,1.0451629256470771,0.9435575894916587,0.9983930842978573,0.9949424554722957,1.4382357565549306,0.0,0.22849237595261038,0.7070550312035242,0.0,0.0,0.0,0.0,0.0,0.14895383445913082,0.0,0.0,0.49251262999718765,0.0,0.0,1.6167817597171021,0.0,0.06196558810379162,0.007021491143896307,0.0,0.0,1.706439686895084,1.378974050477671,1.0259485779491464,0.5994013035636429,0.0,0.0,1.1040515045708563,1.0238310402881385,1.6650574078841325,1.4647781005718876,0.0,0.41052512528913493,0.0,0.3160383395547812,1.5619533991512597,1.2064349690777887,0.0,0.6839763337699694,0.025105062150990395,0.5419304113606442,0.7009075373654314,1.0495312067743507,1.6291132954791085,1.061102979710588,0.0,0.9993028071435925,0.4505957417243646,0.5191375808202651,0.48955340068761033,0.0,0.9757676433550005,1.0010334905326579,0.882864320202185,0.0,0.42416794518753814,0.2187937522879556,0.0,0.2057135862479266,0.9762270050672299,0.44610210440882436
deg1,1,3,1.012440959237897,1.006974590398906,0.9248252217931151,1.0282847292493424,0.9916710531906504,1.0785230169693583,1.0080284738758987,1.0092160660688498,1.050951278004088,1.062859823595614,0.9960487708534776,1.0023528634474717,0.8467339687929077,0.5865256311779071,0.9768474023744097,0.9808664959176413,0.5442090867500505,0.0,0.9486454454661639,0.9498790735144567,0.328479559533751,0.0,0.9305874799629291,0.9251339715187662,0.3579497210292538,0.0,1.029840345843897,1.0518408928161875,0.9295380288184486,0.2763197885934792,1.0071118470687423,1.008340654770347,0.9829344954991334,0.8132864643382572,1.0134947937334389,1.0223484308895812,1.0088454646807175,1.0185695361517013,1.0238394417553585,1.0370691805241337,1.001135885521623,1.0161392698259415,0.006775350192080187,0.0,1.0067222301862624,1.0071375355447831,1.0041086965105361,1.0014796112519804,1.0005587975380255,0.935109707880114,1.016844230814838,1.0050404516348208,0.9736544938353331,1.0036735834118364,1.0081242276269922,0.9933464539346689,1.0001371183997918,1.0016947110663157,0.9231253894901333,0.23681296988078754,0.3276924573785327,0.9500836977013349,0.6456940363751779,0.8403218445815139,0.7679098263047944,0.0,0.026058473566098264,0.8177782354734895,0.0,0.12328823619432508,0.9230524992748158,0.0,0.06787894204250974,1.032442441578249,0.06275287627932775,0.07616701131514048,0.783736524702086,0.0,0.0,1.0530868007544694,0.940105329432969,0.762267596001107,0.9358589837771673,0.5773410038695399,0.7115984925263139,1.0044105492290536,1.00384470780472,0.8883629904418461,1.0605122583630529,0.0,0.7783270065637757,0.8007775152327157,0.9150869918259599,1.0514168555174388,1.0096015230303437,0.24780469522167894,0.921702943672323,0.5457155684949687,0.8756910432810312,0.7810416195828132,0.9835720569021759,0.9616346033554157,0.9774561571398108,0.7157980700308082,0.9674249522145183,0.6671008982196045,0.4337520232814553,0.693768213801353,0.3346727137326079,0.9938634006153969,0.9937119506316753,0.935532998076974,0.7550664633569311,0.650705365682241,0.37565418991562294,0.3932574458652851,0.5068543021240506,0.9935247666515921,0.8783236554742759
