Satellite,,,22877,25933,26605,27663,28129,28361,29486,29486,32711,32711,39166,39166,39166,39166,40105,40105,40105,40105,40294,40294,40294,40294,40534,40534,40534,40534,40730,40730,40730,40730,41328,41328,41328,41328,32393,32393,32395,32395,36111,36111,36400,36400,36401,36401,36402,36402,37829,37829,37867,37867,39155,39155,42939,42939,42939,37846,37846,37846,40545,40545,40545,40890,40890,40890,41175,41175,41175,41549,41549,41549,41859,41859,41859,41860,41860,41860,41862,41862,41862,43056,43056,43056,43566,43566,43566,36590,36590,38091,38091,38953,38953,40748,40748,41315,41315,43001,43001,43002,43002,43107,43107,43108,43108,43581,43581,43622,43622,43707,43707,39199,39199,39635,39635,40269,40269,41384,41384,43286,43286,37605,38652,38779,39617
Signal,,,L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:P(Y),L2:L2C,L2:M,L5:L5I,L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L2:L2OF(C/A),L2:L2SF(P),L3:L3OC,E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),E5:E5ab,E6:CS,E6:PRS(A),B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2I,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,B3:B3I,B2:B2ab,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:SPS,L5:RS,L5:L5I,L5:L5I,L5:L5I,L5:L5I
Mask,CF,RR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deg1,1,-1,8.083012842014769,2.7376492658181664,0.0,2.6687483036168236,0.46480377427866343,1.5167042464872647,0.0,0.0,0.0,0.0,1.225354222546918,7.413629945054795,0.720841768467812,1.6902774734283916,2.884617310422295,0.6254936911517797,0.0,0.21005184861628448,0.0,0.0,0.0,0.0,2.707059733863428,0.0,0.0,0.0,0.0,3.1209718140704887,0.4321996069845743,0.042386578509867066,0.0,0.0,0.0,0.3089476764712719,0.0032741974898072776,0.0,0.0,10.683420094873343,0.0,3.887467003742301,1.7532259502379284,1.5238863466005101,0.016340824279156178,0.0,0.281555671451568,0.02320292809244024,0.023732951844707063,0.0,0.37567569114114696,0.0,0.0,0.3055450967784711,0.3401290364840412,0.0,0.0,0.0,3.914924287650415,0.4304433298037114,0.0,0.0,0.0,0.0,0.18105962457036423,0.0,0.0,0.0,0.0,1.301445749520826,0.6078122661121679,0.5522014490667837,0.0,0.0,0.0,0.5473976210079,0.06456114816790998,0.03337282167397907,0.0,0.0,0.0,0.0,3.3305553288292464,2.1104552188008268,0.0,0.11917739695729354,0.0,6.859220386018965,3.2751429927538047,0.0,0.894299560965214,3.405956625934202,0.0,3.358152602782284,5.2908452787159534,0.0,0.0,0.48377245010847036,1.0078924384693757,0.0,0.0,0.0,0.0,0.0,0.0,1.1552194403284255,4.475622418949577,0.33811111351617423,1.3690486470904704,0.0,0.0,1.187873979017652,1.0165243695187995,0.053716814060910265,0.0,0.0,0.0,0.14100974707905387,0.0,0.0,0.0,0.5372448033303608,0.0,4.097238829183699,0.0
deg1,2,-1,20.667871356762486,3.5017844210097553,0.0,1.2884277396074895,0.0,1.4233667692584953,0.0,0.0,0.0,0.0,0.0,10.41761215960423,1.4378778709874525,1.4861793678065112,0.017722083830468676,0.22216434763176013,0.0,0.19892802184651615,0.032514138771649985,0.0,0.0,0.0,12.0431314459788,0.0,0.1751908681213178,0.0,0.0,3.025238718786634,0.22191833871904018,0.054288505087363007,0.0,0.0,0.0,0.30821378894983603,0.0,0.0,0.0,95.82414059926343,0.0,0.0,1.5965817225542216,0.0,0.0,0.0,0.0,0.0,0.016446807113604193,0.0,0.1642118724280037,0.0,0.0,0.16256999998837135,0.37731476715963297,0.0,0.0,0.0,6.564453290068008,0.0,0.0,0.0,0.0,0.0,0.19993175234035127,0.0,0.0,0.0,0.0,0.13744660824692093,0.6011133963477764,0.5173794453443049,0.0,0.0,0.0,0.5907489745664175,0.06243819638891076,0.038032451111199406,0.0,0.0,0.0,0.0,3.6724251921658806,2.27567939026449,0.0,0.11317068139514114,0.0,4.318843410123618,5.453798426098348,0.0,0.611522030094467,4.761612656440985,0.0,2.983159403181067,3.325741849494221,0.0,0.0,0.2748739088280114,1.7166062683879055,0.0,0.0,0.0,0.0,0.0,0.0,1.7343325616965806,5.978171037666271,0.33996391841914936,1.5712641682433777,0.0,0.0,1.1916666765452681,1.018011784820187,0.03237178666450719,0.0,0.0,0.0,0.1183074772950923,0.0,0.0,0.0,0.5982176319456766,0.01852029074287483,5.070791942628507,0.0
deg5,1,-1,8.00970259111738,2.651567297517619,0.0,2.705747088609862,0.4712993692149519,1.5025431014824728,0.0,0.0,0.0,0.0,1.1226677777554317,7.338084305228707,0.6772762847804755,1.592969516467536,3.186337544022885,0.6255138045380595,0.0,0.20389749567597812,0.0,0.0,0.0,0.0,1.4883854171106201,0.0,0.0,0.0,0.0,3.168765821290913,0.4543221878235521,0.06917112329950997,0.2554774588099429,0.0,0.0,0.36703342765435965,0.0465564506042102,0.0,0.016081846650907807,7.331107513579303,0.0,2.3712152263854684,1.5507876929381126,0.0,0.08951109296210642,0.0,0.417533915155541,0.011940151956899774,0.029509798406286186,0.0,0.36750689844492,0.0,0.23432627918614019,0.3260101613447594,0.3643414909696063,0.0,0.0,0.0,4.016751180578524,0.3548953960581637,0.0,0.0,0.0,0.0,0.22993437486431587,0.0,0.0,0.0,0.0,1.641784265104336,0.6104520430937602,0.5912478198741077,0.0,0.0,0.0,0.6271044920412853,0.07103623012371184,0.03514196790041663,0.0,0.0,0.0,0.0,2.96720214773771,1.9466395928217433,0.0,0.12430767746051356,0.001656776953099218,7.988260674915457,3.459387870548272,0.0,0.905461281459173,3.1640741751654806,0.0,3.8338903346575037,5.872902002377183,0.0,0.0,0.5888021112115067,1.1095795049294197,0.0,0.0,0.022955271811206057,0.0,0.0,0.0,0.8917506544159103,4.229867821009557,0.2874581476641394,0.831656381994044,0.0,0.0,1.1766645613931563,0.9778198307249136,0.046737392320226674,0.05310164056997142,0.0,0.0,0.30424938488418113,0.0,0.0,0.0,0.5530909660130221,0.01687883767760256,3.8840445709430407,0.0
deg5,2,-1,19.231023056997323,0.0,0.0,1.3920255504383807,0.0,1.397014479456533,0.0,0.0,0.0,0.0,0.0,11.088869804659044,0.6955896674496945,1.4145035500441894,3.721373866395809,0.1540604260052746,0.0,0.1963632070854092,0.0,0.0,0.0,0.0,1.3961178541252528,0.0,0.0,0.0,0.0,2.9404146246517873,0.45349764186321107,0.06014860103056734,0.0,0.0,0.0,0.34343571811490803,0.025229083535813723,0.0,0.0,11.962546693298162,0.0,0.5841216238115563,1.703333513424218,0.0,0.07665166130785313,0.0,0.2607187987319422,0.0,0.016952718344089037,0.0,0.44216218044965094,0.0,0.4410866471910115,0.3003824189962382,0.4115852405518377,0.0,0.0,0.0,6.7255442196188255,0.0,0.0,0.01173533280675985,0.0,0.0,0.24959746757596507,0.0,0.0,0.0,0.0,0.7904204989931406,0.6048903240642786,0.5773909609079246,0.0,0.0,0.0,0.6341860197444577,0.06860044271483592,0.03507337220355017,0.0,0.0,0.0,0.0,3.350418365681614,2.3413170203644698,0.0,0.11390421834536556,0.0,6.362033137992743,5.280827051845112,0.0,0.6767275157077113,3.8686664160820916,0.0,3.8016112677670977,4.795386679986016,0.0,0.0,0.5174105125097356,1.8378020504854726,0.0,0.0,0.0,0.0,0.0,0.0,1.1490222665221275,5.170175229837287,0.3356393613646927,1.1112318550500802,0.0,0.0,1.1184419191895572,0.9924563343654359,0.09085590693488048,0.04147064633922852,0.0,0.0,0.3131380456541784,0.0,0.0,0.0,0.6554414362568983,0.03555856880669905,4.890062602809147,0.0
interval2200-2400,1,-1,1.0000000000000002,1.0,0.932429033283389,0.89071479082516,0.9674790363644667,0.8651700738021069,0.9416313392505511,0.7784478775922606,0.8412590842068434,0.7615198825986367,0.950402151914164,1.104176703237844,0.0,1.3245690483058428,0.9828502435410457,0.9888127758386114,0.4939559140172068,0.0,0.7843082074408568,0.8078603529182078,0.0,0.0,0.9636981858785769,1.150827005490275,0.0,0.0,0.8415795380978341,0.9392997590996018,0.0,0.3063107695277001,1.0,1.0,1.0000000000000002,1.0,1.1797450120650863,2.027654709369081,0.5059623928512766,1.5783949714276402,0.6183526171098312,1.0115880259124213,1.6991951189008345,1.7770955879232426,1.0,1.0,0.6124286262170862,0.9310207268083843,1.0000000000000002,1.0,3.9291937244812947,0.5783699920909853,0.25023196662287034,0.22003593510246483,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,0.8822961018084433,1.2045365771868157,0.1615639005272188,1.0638913985916738,1.016366950665338,0.0,0.46985157496819996,0.5895643834178169,0.0255478737767071,1.0923413909513753,0.0,0.0,1.1256528993031638,0.6192865374956233,0.9493047671297445,0.0,0.09425695962357777,0.014554628968263667,0.6780199865231489,0.8030729660788395,0.0,1.7128805467627413,1.6683060753704142,2.3928164390268245,3.977401234737975,0.0,0.20059366271770304,1.0260707184597067,1.205377263107022,1.341827175655907,1.4351120119455476,0.9999999999999998,1.0000000000000002,0.46371260642753614,2.637054828471586,0.09119311518399846,0.1668319851070916,1.0,1.0,1.4653583799258871,1.242488920856194,0.9930260166721223,1.1770475501022493,1.3816370179841195,1.1050921605921895,1.1606148368321179,3.2754263529265373,0.14487954617880314,0.0,1.313694230646849,1.4584967997364076,0.5443105040817251,0.4656955747199683,0.0,0.0,1.0,1.0,0.3354638478740275,0.0,0.4952507415587508,0.42885455702230124,0.17175791290676587,0.0,1.0,0.8823693246646899
interval2200-2400,2,-1,0.9999999999999998,1.0,3.4289933433696285,0.0,0.0,0.5990710371981645,0.0,0.0,0.0,0.9201417159439527,0.0,1.0669090394916692,0.0,1.8197779270598953,0.7879261408661274,0.7091630320542621,0.46963938511115116,0.0,0.0,0.0,0.0,0.0,1.2418610773777674,4.462737064381142,0.0,0.0,0.0,0.439914292701175,0.0,0.2670517277032267,1.0000000000000002,1.0,0.9999999999999998,1.0,0.032387531797566704,27.03365979607686,0.0,0.0,0.0,0.5709491360724397,1.4745141712226608,0.06094522211182813,1.0,1.0,0.0,0.0,1.0000000000000002,0.9999999999999998,5.048415039401175,0.0,0.3278652056532336,0.022731201771062977,0.9999999999999998,1.0000000000000002,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,0.0,1.370923852953591,0.0,0.0,0.8136334183527324,0.0,0.0,0.4395020164094077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09468415351025113,0.018215038966396715,0.0,0.7870563385748515,0.0,17.763307909160183,2.7089889709351733,4.417103278764097,4.193691479979133,0.0,0.0,1.0617763112259717,4.8077781704868485,1.0664069970530328,1.0711260935484537,0.9999999999999998,1.0000000000000002,0.0,2.6430587446649447,0.10733923871272427,0.0,1.0,1.0000000000000002,2.684281462757324,2.0042879750304397,1.6380373224935072,0.0,2.946839524560328,0.0,0.7497615416584604,0.0,0.12087032066062789,0.0,2.2459444363199883,5.58862460464841,1.1319899100439983,0.7361349126461756,0.0,0.0,0.9999999999999998,1.0,0.0,0.0,0.0,0.1706318880836999,0.0,0.0,0.9999999999999998,0.0
interval5500-6200,1,-1,3.51353150472661,1.5250467868416693,1.0000000000000002,4.20154327043301,1.0,0.748328738372873,0.25617308256804416,0.0,0.0,0.0,2.1053073054704985,4.494475642369885,3.144693415477066,1.4337324350453216,2.1030619110770004,5.250524848623547,0.6588113179764148,0.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,2.0676012287369527,4.514380219491043,0.10831388727986171,0.07013228617371282,1.0,1.0000000000000002,1.0,1.0,0.027695896573185136,0.30208438624336786,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,0.4327780607555753,1.4612420951456018,0.007478055657783132,0.0,0.21902379933064675,0.0,0.0,0.0,0.055688440298011385,0.0,0.038381865870147434,0.5408860297121008,0.32668770863025104,0.0,0.0,1.0000000000000002,1.0000000000000002,1.0,0.9143060747481715,0.11405672380559927,0.0,1.3351850680077295,0.2700974240944065,0.0,0.0,0.06223236332794648,0.002957551102600274,1.7172843690327153,0.6260042928379753,0.2667048536749037,0.6863850890623832,0.0,0.0,0.0,0.01159933717560372,0.0,1.0000000000000002,0.9999999999999998,1.0,0.23769230724942958,1.4398692530572748,1.9235650326395797,0.0,0.1777502243774446,0.22327870187529944,1.8436040303185868,0.5354451474786888,2.857010916014561,1.2415983008643419,1.9541863435981772,0.20546770940292702,1.2113348880089478,1.1488098283451909,0.0,0.0,0.16652782561530272,0.835367635700045,0.23274030697651715,0.0,0.0,0.715615673412806,0.0,0.8562207760678359,0.3443213688170245,1.8445153226367763,0.037947813065439824,0.0,0.1951631982091977,3.106360215653388,0.38506932760022905,0.22324815219309171,0.0,0.0,0.0,0.0,1.9686355919485918,0.9289234204938491,0.594179227689535,0.648131773920694,1.3643203868026061,0.2348064325900913,0.8243314332344265,0.8655309856593455
