Satellite,NORAD ID,k
COSMOS 2425,29670,
COSMOS 2426,29671,-7
COSMOS 2433,32275,3
COSMOS 2432,32276,2
COSMOS 2434,32393,-2
COSMOS 2436,32395,-1
COSMOS 2456,36111,1
COSMOS 2457,36112,-4
COSMOS 2458,36113,
COSMOS 2459,36400,-3
COSMOS 2461,36401,2
COSMOS 2460,36402,3
COSMOS 2464,37139,-1
COSMOS 2474,37829,6
COSMOS 2476,37867,5
COSMOS 2477,37868,5
COSMOS 2475,37869,6
COSMOS 2485,39155,-4
COSMOS 2492,39620,-3
COSMOS 2500,40001,4
COSMOS 2514,41330,4
COSMOS 2516,41554,0
COSMOS 2522,42939,-7
COSMOS 2527,43508,1
COSMOS 2529,43687,0
COSMOS 2471,37372,-6
COSMOS 2501,40315,-2
