NORAD ID,Signal,Frequency(MHz),Modulation,P(dBW),G(dBi)
22877,L1:P(Y),1575.42,BPSK(10),13.5,13.5
22877,L1:C/A,1575.42,BPSK(1),16.5,13.5
22877,L1:L1C-D,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
22877,L1:M-D,1575.42,"BOC(10,5)",18.2,13.5
22877,L2:P(Y),1227.6,BPSK(10),10.0,10.0
22877,L2:L2CM,1227.6,BPSK(1),10.0,10.0
22877,L2:M-D,1227.6,"BOC(10,5)",16.0,13.5
22877,L5:L5I,1176.45,BPSK(10),18.0,18.0
25933,L1:P(Y),1575.42,BPSK(10),13.5,13.5
25933,L1:C/A,1575.42,BPSK(1),16.5,13.5
25933,L1:L1C-D,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
25933,L1:M-D,1575.42,"BOC(10,5)",18.2,13.5
25933,L2:P(Y),1227.6,BPSK(10),10.0,10.0
25933,L2:L2CM,1227.6,BPSK(1),10.0,10.0
25933,L2:M-D,1227.6,"BOC(10,5)",16.0,13.5
25933,L5:L5I,1176.45,BPSK(10),18.0,18.0
26605,L1:P(Y),1575.42,BPSK(10),13.5,13.5
26605,L1:C/A,1575.42,BPSK(1),16.5,13.5
26605,L1:L1C-D,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
26605,L1:M-D,1575.42,"BOC(10,5)",18.2,13.5
26605,L2:P(Y),1227.6,BPSK(10),10.0,10.0
26605,L2:L2CM,1227.6,BPSK(1),10.0,10.0
26605,L2:M-D,1227.6,"BOC(10,5)",16.0,13.5
26605,L5:L5I,1176.45,BPSK(10),18.0,18.0
27663,L1:P(Y),1575.42,BPSK(10),13.5,13.5
27663,L1:C/A,1575.42,BPSK(1),16.5,13.5
27663,L1:L1C-D,1575.42,"TMBOC(6,1,4/33)",10.0,10.0
27663,L1:M-D,1575.42,"BOC(10,5)",18.2,13.5
27663,L2:P(Y),1227.6,BPSK(10),10.0,10.0
27663,L2:L2CM,1227.6,BPSK(1),10.0,10.0
27663,L2:M-D,1227.6,"BOC(10,5)",16.0,13.5
27663,L5:L5I,1176.45,BPSK(10),18.0,18.0
