NORAD ID,Name 1562857793,Name 1556138397,Name 1554156377,Name 1553966342,Name 1551055211,Satellite,Constellation,Generation,Observations
20959,,,,,,GPS BIIA-10,GPS,IIA,26/11/1990 - 25/01/2016
21552,,,,,,GPS BIIA-11,GPS,IIA,4/07/1991 - 30/9/2011
21890,,,,,,GPS BIIA-12,GPS,IIA,23/02/1992 - 18/12/2009
21930,,,,,,GPS BIIA-13,GPS,IIA,10/04/1992 - 15/08/1997
22014,,,,,,GPS BIIA-14,GPS,IIA,7/07/1992 - 6/01/2015
22108,,,,,,GPS BIIA-15,GPS,IIA,9/09/1992 - 10/08/2011
22231,,,,,,GPS BIIA-16,GPS,IIA,22/11/1992 - 17/03/2008
22275,,,,,,GPS BIIA-17,GPS,IIA,18/12/1992 - 23/10/2007
22446,,,,,,GPS BIIA-18,GPS,IIA,3/02/1993 - 3/12/2002
22581,,,,,,GPS BIIA-19,GPS,IIA,30/03/1993 - 24/10/2005
22657,,,,,,GPS BIIA-20,GPS,IIA,13/05/1993 - 18/03/2016
22700,,,,,,GPS BIIA-21,GPS,IIA,26/06/1993 - 19/05/2014
22779,,,,,,GPS BIIA-22,GPS,IIA,30/08/1993 - 1/05/2013
22877,GPS-BIIA-23-(PRN-18),GPS-BIIA-23-(PRN-18),GPS-BIIA-23-(PRN-18),GPS-BIIA-23-(PRN-18),GPS-BIIA-23-(PRN-18),GPS BIIA-23,GPS,IIA,26/10/1993 - 11/2015 and 3/2018 - 9/10/2019
23027,,,,,,GPS BIIA-24,GPS,IIA,10/03/1994 - 21/02/2014
23833,,,,,,GPS BIIA-25,GPS,IIA,28/03/1996 - 2/08/2014
23953,,,,,,GPS BIIA-26,GPS,IIA,16/07/1996 - 11/03/2016
24320,,,,,,GPS BIIA-27,GPS,IIA,12/09/1996 - 20/07/2011
25030,,,,,,GPS BIIA-28,GPS,IIA,6/11/1997 - 30/10/2014
24876,GPS-BIIR-2-(PRN-13),GPS-BIIR-2-(PRN-13),GPS-BIIR-2-(PRN-13),GPS-BIIR-2-(PRN-13),GPS-BIIR-2-(PRN-13),GPS-BIIR-2,GPS,IIR,23/07/1997 - 24/04/2026
25933,GPS-BIIR-3-(PRN-11),GPS-BIIR-3-(PRN-11),GPS-BIIR-3-(PRN-11),GPS-BIIR-3-(PRN-11),GPS-BIIR-3-(PRN-11),GPS-BIIR-3,GPS,IIR,7/10/1999 - 10/11/2020
26360,GPS-BIIR-4-(PRN-20),GPS-BIIR-4-(PRN-20),GPS-BIIR-4-(PRN-20),GPS-BIIR-4-(PRN-20),GPS-BIIR-4-(PRN-20),GPS-BIIR-4,GPS,IIR,11/05/2000 - 8/01/2026
26407,GPS-BIIR-5-(PRN-28),GPS-BIIR-5-(PRN-28),GPS-BIIR-5-(PRN-28),GPS-BIIR-5-(PRN-28),GPS-BIIR-5-(PRN-28),GPS-BIIR-5,GPS,IIR,16/07/2000 - 
