Constellation;Generations;Signal name;Central frequency [MHz];Rate [MHz];Modulation
GPS;IIA,IIR,IIRM,IIF,III;L1: C/A;1575.42;1.023;BPSK(1)
GPS;IIA,IIR,IIRM,IIF,III;L1: P(Y);1575.42;10.23;BPSK(10)
GPS;IIA,IIR,IIRM,IIF,III;L2: P(Y);1227.6;10.23;BPSK(10)
GPS;IIRM,IIF,III;L1: M;1575.42;5.115;BOC(10,5)
GPS;IIRM,IIF,III;L2: L2C;1227.6;1.023;BPSK(1)
GPS;IIF,III;L2: M;1227.6;5.115;BOC(10,5)
GPS;IIF,III;L5: L5I;1176.45;10.23;BPSK(10)
GPS;III;L1: L1C;1575.42;1.023;MBOC(6,1,1/11)
GLONASS;M,M+,K1,K2;L1: L1OF(C/A);1602.0;0.5115;BPSK(0.5)
GLONASS;M,M+,K1,K2;L1: L1SF(P);1602.0;5.115;BPSK(5)
GLONASS;M,M+,K1,K2;L2: L2OF(C/A);1246.0;0.5115;BPSK(0.5)
GLONASS;M,M+,K1,K2;L2: L2SF(P);1246.0;5.115;BPSK(5)
GLONASS;M+,K1,K2;L3: L3OC;1202.025;10.23;BPSK(10)
GLONASS;K2;L1: L1OC;1600.995;1.023;MBOC(6,1,1/11)
GLONASS;K2;L1: L1SC;1600.995;2.5575;BOC(5, 2.5)
GLONASS;K2;L2: L2OC;1248.06;1.023;MBOC(6,1,1/11)
GLONASS;K2;L2: L2SC;1248.06;2.5575;BOC(5, 2.5)
GALILEO;IOV,FOC;E1: OS;1575.42;1.023;MBOC(6,1,1/11)
GALILEO;IOV,FOC;E1: PRS(A);1575.42;2.5575;BOCcos(15,2.5)
GALILEO;IOV,FOC;E5: E5ab;1191.795;10.23;AltBOC(15,10)
GALILEO;IOV,FOC;E6: CS;1278.75;5.115;BPSK(5)
GALILEO;IOV,FOC;E6: PRS(A);1278.75;5.115;BOCcos(10,5)
BEIDOU;BDS-2,BDS-3,BDS-3(GEO);B1: B1I;1561.098;2.046;BPSK(2)
BEIDOU;BDS-2,BDS-3,BDS-3(GEO);B3: B3I;1268.52;10.23;BPSK(10)
BEIDOU;BDS-2;B2: B2I;1207.14;2.046;BPSK(2)
BEIDOU;BDS-3;B1: B1C;1575.42;1.023;MBOC(6,1,1/11)
BEIDOU;BDS-3;B2: B2ab;1191.795;15.345;AltBOC(15,10)
BEIDOU;BDS-3(GEO);B2: B2b;1207.14;10.23;BPSK(10)
QZSS;I,II;L1: L1C;1575.42;1.023;MBOC(6,1,1/11)
QZSS;I,II;L1: L1C/A+L1S;1575.42;1.023;BPSK(1)
QZSS;I,II;L2: L2C;1227.6;1.023;BPSK(1)
QZSS;I,II;L5: L5+L5S;1176.45;10.23;BPSK(10)
QZSS;I,II;L6: L6;1278.75;5.115;BPSK(5)
IRNSS;IRNSS-1,NVS;L5: SPS;1176.45;1.023;BPSK(1)
IRNSS;IRNSS-1,NVS;L5: RS;1176.45;2.046;BOC(5,2)
IRNSS;IRNSS-1,NVS;S: SPS;2492.028;1.023;BPSK(1)
IRNSS;IRNSS-1,NVS;S: RS;2492.028;2.046;BOC(5,2)
IRNSS;NVS;L1: SPS(L1C);1575.42;1.023;MBOC(6,1,1/11)
SBAS;I,II;L1: C/A;1575.42;1.023;BPSK(1)
SBAS;II;L5: L5I;1176.45;10.23;BPSK(10)
